Number,Continent,Country,State/Province/Territory/etc.,Location,Region,Up Front Description,Hint # 1,Description at the end,Has Chez Edited Description,Wikipedia Link,Tourism Link,Climate,Pics Uploaded?,Pictures,TB URL,Notes
1,Africa,Namibia,,,,You are looking for a country,It has both the oldest dessert and the largest underground lake in the world ,"Namibia is a land of breathtaking contrasts, where towering sand dunes meet the wild Atlantic coast and rugged mountains cradle vast, untouched savannahs. Home to the otherworldly Namib Desert, the oldest desert in the world, and the iconic red dunes of Sossusvlei, it offers a landscape like no other on Earth. From the haunting beauty of the Skeleton Coast to the rich wildlife of Etosha National Park, Namibia is an adventurer’s paradise, brimming with natural wonders and raw, untamed beauty. With its vibrant culture and awe-inspiring scenery, Namibia promises an unforgettable journey into the heart of Africa’s wild soul.",No,https://en.wikipedia.org/wiki/Namibia,https://visitnamibia.com.na/,,,,,
2,Asia,Vietnam,,,,You are looking for a country,This country is the name of one of the only two wars that the United States ever lost,"Vietnam is a vibrant tapestry of stunning landscapes, rich history, and unforgettable flavors. From the emerald-green waters of Ha Long Bay to the golden rice terraces of Sapa, every corner of this country tells a story of natural beauty. Wander the bustling streets of Hanoi and Ho Chi Minh City, savoring the aromatic delights of pho and banh mi, or immerse yourself in the peaceful charm of ancient towns like Hoi An. Whether you're cruising the Mekong Delta or exploring misty mountains, Vietnam promises an exhilarating journey full of culture, adventure, and soul-stirring moments!",No,https://en.wikipedia.org/wiki/Vietnam,https://vietnam.travel/node/1336,,TRUE,,,
3,Australia,Australia,New South Wales,Blue Mountains,,It is an attraction,It is a famous group of mountains in Australia,"The Blue Mountains in Australia are a magical wonderland of dramatic cliffs, cascading waterfalls, and lush eucalyptus forests that stretch as far as the eye can see. Famous for the mesmerizing blue haze created by the eucalyptus oils in the air, this UNESCO World Heritage site is a nature lover's paradise. Explore the iconic Three Sisters rock formation, ride thrilling cableways over deep valleys, or hike through ancient rainforests teeming with unique wildlife. Just a short trip from Sydney, the Blue Mountains are a breathtaking escape into Australia’s serene and majestic wilderness!",No,https://en.wikipedia.org/wiki/Blue_Mountains_(New_South_Wales),https://www.visitbluemountains.com.au/about-blue-mountains-tourism,,TRUE,,,
4,Australia,Australia,South Australia,Kangaroo Island,,It is an attraction,"It is an Island, with a lot of inhabitants that hop","Kangaroo Island is a breathtaking sanctuary of wildlife, pristine beaches, and rugged natural beauty just off the coast of South Australia. Known as Australia's ""zoo without fences,"" it’s home to kangaroos, koalas, sea lions, and an array of unique native animals thriving in their natural habitats. Explore the otherworldly Remarkable Rocks, stroll along the powdery sands of Vivonne Bay, or marvel at the playful seals at Seal Bay. With its untouched landscapes and endless adventure, Kangaroo Island is a paradise for nature lovers and a must-visit gem!",No,https://en.wikipedia.org/wiki/Kangaroo_Island,https://www.tourkangarooisland.com.au/,,TRUE,,,
5,Australia,Australia,,Syndey ,South East Asia,You are Looking to a City,Famous for its Opera House that is suggests of sails on a boat,"Sydney, Australia, is a dazzling city where iconic landmarks and vibrant energy meet stunning natural beauty! Home to the world-famous Sydney Opera House and Harbour Bridge, its sparkling harbor is a breathtaking centerpiece. Relax on the golden sands of Bondi Beach, wander the historic streets of The Rocks, or soak in panoramic views from a ferry to Manly. With its buzzing culture, incredible dining, and endless outdoor adventures, Sydney is the perfect blend of cosmopolitan charm and coastal paradise!",No,https://en.wikipedia.org/wiki/Sydney,https://www.sydney.com/,,TRUE,,,
6,Europe,France,,Paris,Western Europe,You are Looking to a City,"Also known as the ""City of Lights""","Paris, the City of Light, is a captivating blend of romance, history, and timeless elegance. From the iconic Eiffel Tower to the majestic Notre-Dame Cathedral, every corner of this enchanting city tells a story. Stroll along the charming Seine River, explore the art-filled halls of the Louvre, or savor buttery croissants at a quaint café in Montmartre. With its world-class cuisine, vibrant culture, and undeniable charm, Paris is a dream destination that will steal your heart!",No,https://en.wikipedia.org/wiki/Paris,https://parisjetaime.com/eng/,Temperate,TRUE,https://drive.google.com/drive/folders/1xV1ENOjxujoN9-pOZjdLia40NHQK5ukx?usp=sharing,,Not sure we can legaly use these images for commercial purposes. They are from Creative Commons
7,Europe,Lithuania,,,,You are looking for a country,It is in the baltic region of Europe,"Lithuania is a hidden gem of the Baltics, where lush forests, shimmering lakes, and medieval castles create a fairy-tale landscape. Explore the charming cobblestone streets of Vilnius, a UNESCO-listed capital brimming with Baroque beauty and vibrant culture. From the mystical Hill of Crosses to the golden dunes of the Curonian Spit, the country is a treasure trove of natural and historical wonders. With its warm hospitality, rich traditions, and enchanting scenery, Lithuania promises an unforgettable adventure off the beaten path!",No,https://en.wikipedia.org/wiki/Lithuania,https://lithuania.travel/en/media,,TRUE,,,
8,Europe,Switzerland,,,Western Europe,You are looking for a country,"This country in Europe has a reputation for neutrality, banking, and watches","Switzerland is a storybook destination where snow-capped Alps, sparkling turquoise lakes, and charming villages create a picture-perfect setting. Known for its world-class ski resorts, scenic train journeys, and delicious chocolate and cheese, it’s a haven for adventure and indulgence alike. Stroll through the medieval streets of Lucerne, marvel at the Matterhorn in Zermatt, or relax by the serene shores of Lake Geneva. With its pristine beauty and rich culture, Switzerland is a dream come true for nature lovers and wanderers!",No,https://en.wikipedia.org/wiki/Switzerland,https://www.myswitzerland.com/en-us/,Temperate,TRUE,,,
9,North America,Canada,Yukon,,,"You are looking for a State, Territory, or Province","Jack London's ""The Call of the Wild"" is set in this Canadian Territory","The Yukon is a vast wilderness wonderland, where the magic of the northern lights dances across the sky and rugged mountains meet untamed forests. Discover the Klondike Gold Rush history in Dawson City, paddle along crystal-clear rivers, or hike through endless trails of unspoiled beauty. Whether you're spotting wildlife in Kluane National Park or marveling at the midnight sun, the Yukon offers an unforgettable adventure in the heart of Canada's north.",No,https://en.wikipedia.org/wiki/Yukon,https://www.travelyukon.com/en,,TRUE,,,
10,South America,Belize,,,Central America,You are looking for a country,This country has the second largest barrier reef in the world and it the only Country in Central America where English is the official language,"Belize is a tropical paradise of lush jungles, Mayan ruins, and the world’s second-largest coral reef. Dive into the famous Blue Hole, explore the ancient temples of Xunantunich, or relax on the pristine beaches of Ambergris Caye. With its vibrant culture, exotic wildlife, and turquoise waters teeming with marine life, Belize is an adventurer’s dream and a beach lover’s haven.",No,https://en.wikipedia.org/wiki/Belize,https://www.travelbelize.org/,,TRUE,,,
